Mes;Vazao
nov-1995;458,779
dez-1995;554,928
jan-1996;779,138
fev-1996;614,165
mar-1996;682,331
abr-1996;554,007
mai-1996;481,002
jun-1996;397,845
jul-1996;326,836
ago-1996;305,838
set-1996;321,866
out-1996;317,881
nov-1996;528,158
dez-1996;533,521
jan-1997;936,636
fev-1997;949,979
mar-1997;1020,782
abr-1997;783,774
mai-1997;556,848
jun-1997;566,195
jul-1997;412,52
ago-1997;349,512
set-1997;325,369
out-1997;357,477
nov-1997;437,388
dez-1997;810,252
jan-1998;710,271
fev-1998;955,414
mar-1998;820,074
abr-1998;660,122
mai-1998;475,451
jun-1998;393,344
jul-1998;337,563
ago-1998;309,858
set-1998;295,512
out-1998;345,901
nov-1998;519,801
dez-1998;851,891
jan-1999;882,764
fev-1999;641,761
mar-1999;936,795
abr-1999;553,871
mai-1999;442,102
jun-1999;365,625
jul-1999;327,384
ago-1999;292,638
set-1999;288,504
out-1999;299,479
nov-1999;441,492
dez-1999;517,719
jan-2000;706,22
fev-2000;974,081
mar-2000;1031,822
abr-2000;668,379
mai-2000;479,86
jun-2000;376,485
jul-2000;334,675
ago-2000;304,128
set-2000;345,312
out-2000;320,781
nov-2000;449,34
dez-2000;629,213
jan-2001;564,191
fev-2001;457,751
mar-2001;654,828
abr-2001;517,02
mai-2001;387,072
jun-2001;349,103
jul-2001;289,414
ago-2001;263,185
set-2001;265,573
out-2001;320,294
nov-2001;411,815
dez-2001;868,84
jan-2002;992,732
fev-2002;1018,647
mar-2002;820,79
abr-2002;576,033
mai-2002;438,743
jun-2002;363,652
jul-2002;326,396
ago-2002;291,741
set-2002;286,992
out-2002;289,35
nov-2002;366,438
dez-2002;511,828
jan-2003;758,135
fev-2003;929,954
mar-2003;915,336
abr-2003;986,931
mai-2003;534,765
jun-2003;418,767
jul-2003;354,125
ago-2003;311,36
set-2003;292,57
out-2003;332,297
nov-2003;371,902
dez-2003;487,469
jan-2004;908,966
fev-2004;1615,075
mar-2004;976,404
abr-2004;662,382
mai-2004;536,851
jun-2004;424,125
jul-2004;378,872
ago-2004;328,371
set-2004;296,31
out-2004;334,953
nov-2004;444,759
dez-2004;520,264
jan-2005;737,149
fev-2005;658,344
mar-2005;770,148
abr-2005;582,394
mai-2005;419,281
jun-2005;343,567
jul-2005;306,087
ago-2005;273,725
set-2005;273,5
out-2005;303,85
nov-2005;377,46
dez-2005;659,696
jan-2006;651,572
fev-2006;555,881
mar-2006;848,569
abr-2006;795,449
mai-2006;464,848
jun-2006;371,296
jul-2006;327,328
ago-2006;287,355
set-2006;297,286
out-2006;425,614
nov-2006;462,182
dez-2006;598,702
jan-2007;735,515
fev-2007;1131,732
mar-2007;740,441
abr-2007;517,372
mai-2007;409,72
jun-2007;343,144
jul-2007;308,977
ago-2007;281,854
set-2007;257,496
out-2007;277,842
nov-2007;358,166
dez-2007;477,797
jan-2008;586,982
fev-2008;882,273
mar-2008;812,057
abr-2008;668,432
mai-2008;473,789
jun-2008;376,73
jul-2008;320,913
ago-2008;279,699
set-2008;259,306
out-2008;279,837
nov-2008;367,641
dez-2008;429,78
jan-2009;453,126
fev-2009;656,086
mar-2009;655,984
abr-2009;731,806
mai-2009;426,819
jun-2009;359,964
jul-2009;307,529
ago-2009;276,237
set-2009;294,027
out-2009;313,546
nov-2009;420,799
dez-2009;697,341
jan-2010;789,346
fev-2010;669,185
mar-2010;668,208
abr-2010;687,666
mai-2010;399,075
jun-2010;332,918
jul-2010;283,196
ago-2010;257,396
set-2010;234,811
out-2010;256,131
nov-2010;396,957
dez-2010;466,899
jan-2011;804,239
fev-2011;631,206
mar-2011;964,533
abr-2011;725,624
mai-2011;414,798
jun-2011;340,1
jul-2011;298,69
ago-2011;262,333
set-2011;238,225
out-2011;284,845
nov-2011;328,224
dez-2011;411,282
jan-2012;750,592
fev-2012;584,562
mar-2012;548,383
abr-2012;468,266
mai-2012;368,485
jun-2012;319,326
jul-2012;266,1
ago-2012;232,118
set-2012;226,676
out-2012;259,055
nov-2012;362,567
dez-2012;420,036
jan-2013;750,021
fev-2013;994,158
mar-2013;723,414
abr-2013;712,202
mai-2013;421,449
jun-2013;396,158
jul-2013;301,74
ago-2013;263,207
set-2013;246,106
out-2013;295,318
nov-2013;382,667
dez-2013;646,917
jan-2014;636,126
fev-2014;769,764
mar-2014;840,354
abr-2014;702,841
mai-2014;459,36
jun-2014;360,579
jul-2014;305,918
ago-2014;274,584
set-2014;258,89
out-2014;264,002
nov-2014;364,053
dez-2014;731,343
