MES;VAZAO
set/1985;7259
out/1985;6850
nov/1985;3445
dez/1985;2059
jan/1986;1562
fev/1986;1303
mar/1986;1149,53
abr/1986;1418
mai/1986;2173
jun/1986;5735
jul/1986;6530
ago/1986;6407,24
set/1986;10915,01
out/1986;6926
nov/1986;3989
dez/1986;2451
jan/1987;1799
fev/1987;1420
mar/1987;1190,85
abr/1987;1516
mai/1987;2367
jun/1987;5738
jul/1987;5699
ago/1987;5591,18
set/1987;6908
out/1987;6358,85
nov/1987;4531
dez/1987;2388,15
jan/1988;1811
fev/1988;1450
mar/1988;1301
abr/1988;1438
mai/1988;3247
jun/1988;14808,93
jul/1988;15944,64
ago/1988;6607,9
set/1988;8388
out/1988;5722
nov/1988;3730
dez/1988;2420
jan/1989;1926
fev/1989;1499
mar/1989;1587
abr/1989;1608
mai/1989;1974
jun/1989;2887
jul/1989;5896
ago/1989;18912,59
set/1989;6307
out/1989;5951
nov/1989;3322
dez/1989;1900,29
jan/1990;8377
fev/1990;6962
mar/1990;6838
abr/1990;6100,09
mai/1990;4617
jun/1990;3040
jul/1990;1891
ago/1990;1498,1
set/1990;1257
out/1990;1211,8
nov/1990;1530
dez/1990;1559
jan/1992;3022
fev/1992;7181
mar/1992;6395
abr/1992;10969,53
mai/1992;7926
jun/1992;3356
jul/1992;2409
ago/1992;1881,92
set/1992;1429
out/1992;1222
nov/1992;1245
dez/1992;1736
jan/1993;3450
fev/1993;5356
mar/1993;7238,27
abr/1993;5891
mai/1993;8963
jun/1993;6413,37
jul/1993;3137
ago/1993;2074,3
set/1993;1561
out/1993;1260
nov/1993;1346
dez/1993;2046
jan/1994;5017
fev/1994;6115
mar/1994;4226
abr/1994;5481
mai/1994;5746
jun/1994;3687
jul/1994;2131,86
ago/1994;1519,32
set/1994;1237
out/1994;1040
nov/1994;1413
dez/1994;2093
jan/1995;2511
fev/1995;5828
mar/1995;5279
abr/1995;9361,83
mai/1995;10220,97
jun/1995;4828
jul/1995;2378
ago/1995;1675
set/1995;1295
out/1995;1161
nov/1995;1253
dez/1995;1465
jan/1996;2549
fev/1996;3205
mar/1996;4444
abr/1996;4805
mai/1996;2500
jun/1996;2036,5
jul/1996;1363
ago/1996;1020,21
set/1996;943
out/1996;1158
nov/1996;1185
dez/1996;2463
jan/1997;3814
fev/1997;4393
mar/1997;3192
abr/1997;6053
mai/1997;3109,32
jun/1997;2669
jul/1997;1912
ago/1997;1566,09
set/1997;1345
out/1997;1427
nov/1997;1605
dez/1997;3224,21
jan/1998;6519
fev/1998;4470
mar/1998;4385
abr/1998;6569
mai/1998;5377
jun/1998;3409
jul/1998;2359
ago/1998;2149,83
set/1998;1790
out/1998;1872
nov/1998;2035
dez/1998;2552
jan/1999;4330
fev/1999;11612,25
mar/1999;7556
abr/1999;4574
mai/1999;4569
jun/1999;2759
jul/1999;2111
ago/1999;1645,58
set/1999;1371
out/1999;1453
nov/1999;1810
dez/1999;2393
jan/2001;2866
fev/2001;4806
mar/2001;5177
abr/2001;5859
mai/2001;6536
jun/2001;3140
jul/2001;2198
ago/2001;1754,85
set/2001;1642
out/2001;1550
nov/2001;1842
dez/2001;2549
jan/2002;2809
fev/2002;5713
mar/2002;12796
abr/2002;10809,24
mai/2002;6880
jun/2002;3722
jul/2002;2544
ago/2002;2045,8
set/2002;1776
